,sentence,entity_text,entity_type
0,"<br><br> <span style=""white-space:nowrap""><img src=""figures/example_data.png"" alt=""Diverse examplary synthetic data samples."" align=""middle"" width=""100%"" /><br> <span style=""white-space:nowrap""><img src=""figures/multi-channel.png"" alt=""Synthetic multi-channel data sample."" align=""middle"" width=""32.7%"" /><img src=""figures/overlapping_cells.png"" alt=""Synthetic data sample of overlapping cells."" align=""middle"" width=""32.7%"" /><img src=""figures/timeseries.gif"" alt=""Synthetic timeseries data sample."" align=""middle"" width=""32.7%"" /></span></span><br> <em>Exemplary synthetic samples from our experiments</em><br><br><br>   If you are using code or data, please cite the following work: ``` @article{eschweiler2024celldiffusion,   title={Denoising diffusion probabilistic models for generation of realistic fully-annotated microscopy image datasets},   author={Eschweiler, Dennis and Yilmaz, R{\""u}veyda and Baumann, Matisse and Laube, Ina and Roy, Rijo and Jose, Abin and Br{\""u}ckner, Daniel and Stegmaier, Johannes},   journal={PLOS Computational Biology},   volume={20},   number={2},   pages={e1011890},   year={2024} } ``` <br><br><br> We provide Jupyter Notebooks that give an overview of how to preprocess your data, train and apply the image generation process.",Jupyter Notebooks,SOFTWARE
1,"Requirements ============  The code has been tested on `Ubuntu 18.04.2 LTS`, with `Python 2.7` , `Tensorflow 1.10` and `Numpy 1.15.1`.",Ubuntu 18.04.2 LTS,SOFTWARE
2,"Requirements ============  The code has been tested on `Ubuntu 18.04.2 LTS`, with `Python 2.7` , `Tensorflow 1.10` and `Numpy 1.15.1`.",Tensorflow 1.10,SOFTWARE
3,"Requirements ============  The code has been tested on `Ubuntu 18.04.2 LTS`, with `Python 2.7` , `Tensorflow 1.10` and `Numpy 1.15.1`.",Numpy 1.15.1,SOFTWARE
4,In the test phase `OpenCV 3.4.3.18` and `Scikit-image 0.14.2` have been used to manipulate and visualize the samples.,OpenCV 3.4.3.18,SOFTWARE
5,In the test phase `OpenCV 3.4.3.18` and `Scikit-image 0.14.2` have been used to manipulate and visualize the samples.,Scikit-image 0.14.2,SOFTWARE
6,[conda](https://docs.conda.io/en/latest/)) to setup all the packages.,conda,SOFTWARE
7,To better visualize this README offline the use of `grip` is suggested:  ``` pip install grip grip .,grip,SOFTWARE
8,To better visualize this README offline the use of `grip` is suggested:  ``` pip install grip grip .,pip,SOFTWARE
9,To better visualize this README offline the use of `grip` is suggested:  ``` pip install grip grip .,grip,SOFTWARE
10,To better visualize this README offline the use of `grip` is suggested:  ``` pip install grip grip .,grip,SOFTWARE
11,To install Tensorflow GPU version 1.10 run this command from `pip`: ``` pip install https://storage.googleapis.com/tensorflow/linux/gpu/tensorflow_gpu-1.10.0-cp27-none-linux_x86_64.whl ```  Otherwise you can install the CPU version:  ``` pip install https://storage.googleapis.com/tensorflow/linux/cpu/tensorflow-1.10.0-cp27-none-linux_x86_64.whl ```  Additional packages can also be installed with `pip`:  ``` pip install opencv-python==3.4.3 pip install scikit-image==0.14 ```  All the procedures reported below will work only if the current terminal directory is the code folder.,Tensorflow GPU version 1.10,SOFTWARE
12,To install Tensorflow GPU version 1.10 run this command from `pip`: ``` pip install https://storage.googleapis.com/tensorflow/linux/gpu/tensorflow_gpu-1.10.0-cp27-none-linux_x86_64.whl ```  Otherwise you can install the CPU version:  ``` pip install https://storage.googleapis.com/tensorflow/linux/cpu/tensorflow-1.10.0-cp27-none-linux_x86_64.whl ```  Additional packages can also be installed with `pip`:  ``` pip install opencv-python==3.4.3 pip install scikit-image==0.14 ```  All the procedures reported below will work only if the current terminal directory is the code folder.,pip,SOFTWARE
